year,state,region,division,population,enslaved_population,urban_population,labor_force,labor_force_agricultural,labor_force_enslaved,gdp_per_capita,gdp,agriculture,agriculture_crops_and_livestock,agriculture_crops_and_livestock_livestock_and_feed_crops,agriculture_crops_and_livestock_food_grains,agriculture_crops_and_livestock_cotton,agriculture_crops_and_livestock_other,agriculture_farm_improvments,construction,mining,manufacturing,manufacturing_factory,manufacturing_home,services,services_trade,services_transportation_and_public_utilities,services_finance,services_professional,services_personal,services_government,services_education,services_hand_trades,services_shelter,easterlin_1957,easterlin_1960,klein,wealth
1839,Alabama,3,6,"590,756","253,532","12,672","255,100","199,234","149,500",99.674,58.883060,37.878907,31.444477,16.342578,0.743645,8.654561,5.703693,6.434429,0.904893,0.028124,9.558101,1.740669,7.817432,10.513036,3.048644,0.936020,0.000000,0.895434,1.927443,0.000000,0.084662,0.120048,3.500784,NA,31,NA,NA
1839,Arizona,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Arkansas,3,7,"97,574","19,935",0,"34,800","28,301","11,900",192.068,18.740796,7.712701,6.215068,4.374984,0.094996,0.381318,1.363771,1.497633,0.350464,0.007031,8.680083,6.368300,2.311783,1.990517,0.317485,0.041539,0.000000,0.190738,0.164381,0.276785,0.119373,0.056422,0.823794,NA,7,NA,NA
1839,California,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Colorado,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Connecticut,1,1,"309,978",17,"38,952","102,000","56,638",NA,142.761,44.252746,10.361378,10.318765,6.921475,0.557610,0.000000,2.839681,0.042613,3.898431,0.246088,13.326537,12.258978,1.067560,16.420312,5.292678,4.046304,0.000000,1.405134,0.219261,0.126958,0.182517,0.957573,4.189887,NA,28,NA,NA
1839,Dakota Territory,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Delaware,3,5,"78,085","2,605","8,367","23,400","16,183","1,600",108.528,8.474414,2.922599,2.916088,1.879473,0.292127,0.000032,0.744456,0.006510,0.578237,0.010547,1.885283,1.592075,0.293208,3.077749,0.717191,0.654186,0.333884,0.131147,0.082813,0.207850,0.029881,0.105925,0.814872,NA,5,NA,NA
1839,District of Columbia,3,5,"43,712","4,694","39,135","10,900","1,484","2,200",115.985,5.069921,0.302760,0.300428,0.075169,0.012652,0.000000,0.212607,0.002332,1.233597,0.000000,0.930484,0.923404,0.007080,2.603081,0.463085,0.266221,0.226233,0.168086,0.120785,0.704176,0.020247,0.100482,0.533767,NA,NA,NA,NA
1839,Florida,3,5,"54,477","25,717",0,"26,500","19,983","15,900",135.166,7.363442,3.527321,2.982166,1.446472,0.000477,0.766001,0.769215,0.545155,0.165689,0.000000,0.519928,0.424553,0.095374,3.150505,0.975452,0.751124,0.193884,0.177532,0.301631,0.241394,0.052054,0.012302,0.445131,NA,4,NA,NA
